time,paid_in,best_net,best_gross,bitcoin
2021-06-29 00:00:00+00:00,1600.0,15799.570421643253,16844.36046790379,12152.357340204571
2021-06-30 00:00:00+00:00,1600.0,15799.570421643253,16844.36046790379,11859.07192102572
2021-07-01 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11437.859474225244
2021-07-02 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11533.934025972043
2021-07-03 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11835.226093159796
2021-07-04 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,12045.985113804243
2021-07-05 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11501.021918063896
2021-07-06 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11681.907081608024
2021-07-07 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11559.731847718942
2021-07-08 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11222.994659028203
2021-07-09 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11543.922702223388
2021-07-10 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11437.092341796306
2021-07-11 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11695.21393739331
2021-07-12 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11294.997789408724
2021-07-13 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11173.174173309762
2021-07-14 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11203.983402007098
2021-07-15 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,10883.082668931533
2021-07-16 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,10713.715548337525
2021-07-17 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,10760.21102699212
2021-07-18 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,10848.453437252223
2021-07-19 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,10527.931632086398
2021-07-20 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,10169.725275608673
2021-07-21 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,10973.38016569311
2021-07-22 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11022.306244993966
2021-07-23 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11481.887765504496
2021-07-24 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,11694.923767372338
2021-07-25 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,12078.248606371391
2021-07-26 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,12712.04137994369
2021-07-27 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,13469.989371077589
2021-07-28 00:00:00+00:00,1700.0,15899.570421643253,16944.36046790379,13661.737134700928
