time,paid_in,strategy,bitcoin
2026-01-04,7100.0,21300.0,18502.0
2026-01-11,7100.0,21300.0,18398.0
2026-01-18,7100.0,21300.0,18935.0
2026-01-25,7100.0,21300.0,17520.0
2026-02-01,7200.0,21400.0,15659.0
2026-02-08,7200.0,21400.0,14308.0
2026-02-15,7200.0,21400.0,14003.0
2026-02-22,7200.0,21400.0,13761.0
2026-03-01,7300.0,21500.0,13482.0
2026-03-08,7300.0,21500.0,13521.0
2026-03-15,7300.0,21500.0,14924.0
2026-03-22,7300.0,21500.0,13908.0
2026-03-29,7300.0,21500.0,13529.0
2026-04-05,7400.0,21600.0,14250.0
2026-04-12,7400.0,21600.0,14603.0
2026-04-19,7400.0,21600.0,15234.0
2026-04-26,7400.0,21600.0,16237.0
2026-05-03,7500.0,21700.0,16319.0
2026-05-10,7500.0,21700.0,17075.0
2026-05-17,7500.0,21700.0,16088.0
2026-05-24,7500.0,21700.0,16006.0
2026-05-31,7500.0,21700.0,15302.0
2026-06-07,7600.0,21800.0,13243.0
2026-06-14,7600.0,21800.0,13747.0
2026-06-21,7600.0,21800.0,13238.0
2026-06-28,7600.0,21800.0,12457.0
2026-07-05,7700.0,21900.0,13415.0
2026-07-12,7700.0,21900.0,13442.0
2026-07-19,7700.0,21900.0,13641.0
2026-07-26,7700.0,21900.0,13784.0
2026-08-02,7800.0,22000.0,13499.0
2026-08-09,7800.0,22000.0,13782.0
2026-08-16,7800.0,22000.0,13357.0
2026-08-23,7800.0,22000.0,16507.0
2026-08-30,7800.0,22000.0,16531.0
